product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color,revenue
BlackWidow Elite (Blue),Keyboards,129.99,0.0,1066.0,Razer,8.75,346.0,5/9/2021,blue,138569.34
Laugh & Learn Smart Stages Chair (Gray),Toys,39.99,51.0,1068.0,Fisher-Price,8.5,401.0,8/3/2022,gray,42709.32
"65R635 (65"", Gray frame)",TVs,899.0,410.0,862.0,TCL,8.75,259.0,7/8/2023,gray,774938.0
Wii (Red),Gaming Consoles,150.0,0.0,1149.0,Nintendo,8.75,11.0,4/23/2022,red,172350.0
"Elite 65t (Wired, Gray)",Headphones,69.99,301.0,1351.0,Jabra,8.5,680.0,2/6/2023,red,94556.48999999999
Lark Manor End Table (White),Furniture,150.0,71.0,1010.0,Wayfair,7.8,564.0,3/26/2025,white,151500.0
"G3 15 (512GB, Gray)",Laptops,950.0,0.0,414.0,Dell,7.85,73.0,3/21/2020,gray,393300.0
"ExpertBook B9 (512GB, Gray)",Laptops,1700.0,0.0,490.0,Asus,8.7,39.0,7/18/2025,gray,833000.0
"1080v11 (Red, EU 39)",Shoes,160.0,490.0,878.0,New Balance,8.75,166.0,6/30/2020,red,140480.0
"Bravia X950H (55"", Orange frame)",TVs,1299.0,452.0,934.0,Sony,8.75,396.0,4/29/2021,orange,1213266.0
"Tiro 21 Track Pants (White, XL)",Clothing,45.0,298.0,1535.0,Adidas,8.8,761.0,2/1/2022,white,69075.0
All-in-One Media Keyboard (Gray),Keyboards,39.99,0.0,1059.0,Microsoft,8.2,485.0,3/29/2025,gray,42349.41
"P30 Pro (64GB, Brown)",Smartphones,499.0,312.0,901.0,Huawei,8.75,246.0,4/22/2021,brown,449599.0
"AirPods (1st generation) (Wireless, Orange)",Headphones,99.0,229.0,639.0,Apple,7.8,200.0,9/29/2025,orange,63261.0
Little People Caring for Animals Farm (Brown),Toys,44.99,0.0,929.0,Fisher-Price,9.3,46.0,9/24/2020,brown,41795.71
"ENVY 15 (256GB, Purple)",Laptops,899.0,89.0,994.0,HP,8.5,466.0,1/16/2024,purple,893606.0
K400 Plus (Blue),Keyboards,30.0,0.0,840.0,Logitech,8.5,169.0,7/2/2022,blue,25200.0
"ProBook 450 G7 (128GB, Green)",Laptops,750.0,0.0,1113.0,HP,8.25,625.0,1/23/2022,green,834750.0
"Originals Trefoil Hoodie (Blue, M)",Clothing,60.0,432.0,657.0,Adidas,8.5,5.0,11/23/2022,blue,39420.0
Poäng Armchair (Black),Furniture,89.0,30.0,1044.0,IKEA,8.27,451.0,7/19/2025,black,92916.0
Tech Deck (Purple),Toys,15.99,298.0,1389.0,Spin Master,8.75,638.0,9/3/2022,purple,22210.11
"MDR-1AM2 (Wired, Blue)",Headphones,249.99,289.0,1432.0,Sony,8.75,721.0,11/6/2024,red,357985.68
K68 RGB (Black),Keyboards,85.0,109.0,1441.0,Corsair,8.75,705.0,6/30/2022,black,122485.0
Juice Fountain Elite (Red),Kitchen,299.95,351.0,1013.0,Breville,9.2,209.0,1/29/2021,red,303849.35
"Sportswear Club Fleece Joggers (Gray, XL)",Clothing,55.0,0.0,824.0,Nike,8.75,106.0,9/17/2023,gray,45320.0
Cold Brew Coffee Maker (Red),Kitchen,79.99,240.0,993.0,KitchenAid,8.6,299.0,1/2/2023,red,79430.06999999999
Gear S3 Frontier (Green),Watches,199.99,275.0,690.0,Samsung,8.75,646.0,5/19/2020,green,137993.1
KSB1570ER 5-Speed Blender (Blue),Kitchen,99.99,150.0,1366.0,KitchenAid,8.75,626.0,5/7/2021,blue,136586.34
"Move Style Edition (Wireless, Brown)",Headphones,99.99,1.0,1335.0,Jabra,8.3,731.0,9/15/2022,brown,133486.65
"Surface Pro 9 (256GB, Purple)",Tablets,999.0,151.0,1070.0,Microsoft,8.75,456.0,9/28/2021,purple,1068930.0
"RU7100 (75"", Blue frame)",TVs,1199.0,277.0,1254.0,Samsung,8.5,766.0,3/12/2023,blue,1503546.0
Watch Series 2 (Red),Watches,369.0,435.0,502.0,Apple,8.75,307.0,12/3/2022,red,185238.0
"Surface Pro 7 (64GB, Black)",Tablets,749.0,480.0,1283.0,Microsoft,8.6,688.0,4/23/2021,black,960967.0
"Essentials Hoodie (Green, L)",Clothing,75.0,124.0,1012.0,Adidas,8.5,360.0,1/9/2021,green,75900.0
Draycoll Recliner (Blue),Furniture,450.0,245.0,1030.0,Ashley Furniture,8.75,350.0,6/13/2021,blue,463500.0
Switch OLED (Purple),Gaming Consoles,349.99,406.0,1203.0,Nintendo,8.75,73.0,5/11/2022,purple,421037.97000000003
Genesis Mini (Black),Gaming Consoles,79.99,145.0,1085.0,Sega,8.5,31.0,11/2/2023,black,86789.15
Air Fryer XXL (Orange),Kitchen,249.99,0.0,940.0,Philips,8.75,240.0,8/11/2024,orange,234990.6
G Pro Mechanical (Red),Keyboards,129.99,279.0,1085.0,Logitech,8.75,359.0,9/24/2022,red,141039.15000000002
"Zig Kinetica (Brown, EU 46)",Shoes,120.0,0.0,1160.0,Reebok,8.5,485.0,1/25/2025,brown,139200.0
"Galaxy Note10 (1TB, Black)",Smartphones,1299.99,206.0,858.0,Samsung,8.75,325.0,1/10/2023,black,1115391.42
Apex 100 (Brown),Keyboards,49.99,399.0,618.0,SteelSeries,7.85,144.0,7/30/2025,brown,30893.82
"Jersey Dress (Blue, XS)",Clothing,19.99,81.0,1133.0,H&M,8.45,470.0,3/16/2022,blue,22648.67
"OLED B1 (75"", Black frame)",TVs,2499.0,0.0,427.0,LG,8.75,85.0,2/13/2023,black,1067073.0
Ektorp Sofa (Gray),Furniture,499.0,0.0,686.0,IKEA,8.5,94.0,2/19/2025,gray,342314.0
Forerunner 245 (Red),Watches,299.99,293.0,356.0,Garmin,8.75,28.0,5/10/2023,red,106796.44
"Latitude 7400 (64GB, Green)",Laptops,1500.0,259.0,982.0,Dell,8.5,517.0,5/10/2021,green,1473000.0
"PXC 550 (Wired, Red)",Headphones,249.99,278.0,921.0,Sennheiser,8.75,234.0,2/7/2022,red,230240.79
"QuietComfort 35 II (Wireless, Black)",Headphones,299.0,147.0,1530.0,Bose,9.3,661.0,7/4/2020,black,457470.0
Paw Patrol Mighty Lookout Tower (White),Toys,129.99,276.0,823.0,Spin Master,8.75,111.0,9/12/2020,white,106981.77
"Iso-Chill Shorts (Black, L)",Clothing,40.0,0.0,854.0,Under Armour,8.25,275.0,7/8/2023,black,34160.0
Smart Screen Blender (Green),Kitchen,149.99,466.0,1208.0,Ninja,8.75,468.0,11/3/2022,green,181187.92
Rock-a-Stack (Purple),Toys,9.99,498.0,1360.0,Fisher-Price,8.75,610.0,5/28/2023,purple,13586.4
Galaxy Watch 5 (White),Watches,279.99,318.0,534.0,Samsung,8.75,370.0,7/2/2020,white,149514.66
"Blazer Mid '77 (White, EU 44)",Shoes,100.0,466.0,1476.0,Nike,8.65,756.0,12/14/2021,white,147600.0
"Air Zoom Pegasus 38 (Blue, EU 44)",Shoes,120.0,110.0,1129.0,Nike,9.2,293.0,12/31/2022,blue,135480.0
"ROG Strix Scar 15 (256GB, Black)",Laptops,2000.0,498.0,1008.0,Asus,8.5,631.0,7/14/2022,black,2016000.0
XEGS (Brown),Gaming Consoles,150.0,0.0,1189.0,Atari,7.5,367.0,12/29/2023,brown,178350.0
HD2137 Pressure Cooker (Red),Kitchen,80.0,115.0,1365.0,Philips,8.75,622.0,3/6/2023,red,109200.0
"8T (64GB, Yellow)",Smartphones,449.0,215.0,1263.0,OnePlus,8.75,594.0,10/15/2022,yellow,567087.0
"Fresh Foam 1080 (Red, EU 44)",Shoes,160.0,0.0,1004.0,New Balance,9.2,170.0,1/10/2025,red,160640.0
Darcy Sofa (Black),Furniture,450.0,247.0,1089.0,Ashley Furniture,8.75,398.0,10/11/2025,black,490050.0
"MatePad Pro 12.6 (128GB, White)",Tablets,700.0,75.0,1379.0,Huawei,8.5,772.0,4/14/2021,white,965300.0
The Grind Control (Green),Kitchen,299.95,0.0,1023.0,Breville,8.75,330.0,10/20/2024,green,306848.85
Andover Mills Bookcase (Black),Furniture,120.0,0.0,768.0,Wayfair,8.2,219.0,4/30/2025,black,92160.0
Strafe RGB MK.2 (Yellow),Keyboards,150.0,0.0,980.0,Corsair,8.7,279.0,6/12/2021,yellow,147000.0
Mercury Row Merwin TV Stand (Red),Furniture,250.0,388.0,913.0,Wayfair,8.25,350.0,4/9/2022,red,228250.0
Barista Express (Gray),Kitchen,699.95,0.0,1522.0,Breville,9.12,757.0,12/15/2020,gray,1065323.9000000001
M720 Triathlon (Purple),Mice,49.99,0.0,1281.0,Logitech,8.75,538.0,3/5/2022,purple,64037.19
Pro Type Ultra (Red),Keyboards,179.99,243.0,1145.0,Razer,8.75,415.0,8/21/2020,red,206088.55000000002
Cannery Bridge Storage Chest (Green),Furniture,179.99,0.0,1390.0,Sauder,8.25,810.0,4/16/2023,green,250186.1
"Disc Blaze (Orange, EU 39)",Shoes,120.0,474.0,1049.0,Puma,8.5,402.0,3/30/2025,orange,125880.0
"Evolve2 65 (Wired, Purple)",Headphones,180.0,0.0,820.0,Jabra,8.5,173.0,12/28/2024,red,147600.0
"Alphaskin Tights (Black, XL)",Clothing,45.0,146.0,1373.0,Adidas,8.75,634.0,1/26/2021,black,61785.0
"Tiro 21 Track Pants (Yellow, XXL)",Clothing,50.0,263.0,1422.0,Adidas,8.75,705.0,6/11/2020,yellow,71100.0
PlayStation Classic (Blue),Gaming Consoles,59.99,0.0,658.0,Sony,7.5,44.0,2/14/2023,blue,39473.42
"Gazelle (Orange, EU 44)",Shoes,100.0,465.0,894.0,Adidas,8.75,175.0,10/10/2022,orange,89400.0
Flashback Portable (Brown),Gaming Consoles,59.99,35.0,1107.0,Atari,8.0,174.0,3/25/2022,brown,66408.93000000001
"6 (1TB, Black)",Smartphones,599.0,294.0,888.0,OnePlus,8.5,322.0,4/11/2023,black,531912.0
Air Hogs Super Soft (Purple),Toys,29.99,86.0,1423.0,Spin Master,8.45,743.0,3/23/2023,purple,42675.77
Pico (Yellow),Gaming Consoles,80.0,467.0,1725.0,Sega,7.5,687.0,7/8/2020,yellow,138000.0
PlayStation 3 (Black),Gaming Consoles,150.0,0.0,1914.0,Sony,8.5,526.0,8/3/2021,black,287100.0
Operation (Gray),Toys,19.99,0.0,1414.0,Hasbro,8.75,644.0,8/22/2022,gray,28265.859999999997
"Mi 10 (64GB, Orange)",Smartphones,299.0,391.0,842.0,Xiaomi,8.7,168.0,10/30/2023,orange,251758.0
"70PUS6724 (65"", Brown frame)",TVs,700.0,0.0,1038.0,Philips,8.25,537.0,11/15/2025,brown,726600.0
Wade Logan Dining Table (White),Furniture,450.0,425.0,1317.0,Wayfair,8.7,645.0,2/14/2021,white,592650.0
G-Shock Rangeman (Brown),Watches,300.0,0.0,729.0,Casio,8.75,738.0,12/18/2024,brown,218700.0
Spiralizer Attachment (Yellow),Kitchen,89.99,129.0,1478.0,KitchenAid,8.75,713.0,1/30/2023,yellow,133005.22
Hemnes TV Bench (Yellow),Furniture,149.0,0.0,1160.0,IKEA,8.25,587.0,2/25/2024,yellow,172840.0
Rainforest Jumperoo (Green),Toys,109.99,62.0,1376.0,Fisher-Price,8.75,633.0,10/26/2023,green,151346.24
Duo Crisp + Air Fryer (Gray),Kitchen,149.99,328.0,896.0,Instant Pot,9.2,64.0,6/12/2024,gray,134391.04
"iPad Pro 11 (2018) (128GB, Green)",Tablets,649.0,0.0,1326.0,Apple,9.2,556.0,11/15/2020,green,860574.0
"Beats Solo3 (Wired, Yellow)",Headphones,99.0,483.0,1404.0,Apple,8.5,721.0,9/14/2022,red,138996.0
Etch A Sketch (Yellow),Toys,15.99,461.0,1389.0,Spin Master,8.5,713.0,9/30/2025,yellow,22210.11
Arc Mouse (Green),Mice,79.99,0.0,1002.0,Microsoft,8.5,337.0,12/28/2025,green,80149.98
"Elite 45h (Wireless, Green)",Headphones,99.99,102.0,763.0,Jabra,8.75,42.0,4/6/2020,green,76292.37
Scrabble (Blue),Toys,19.99,0.0,1223.0,Mattel,8.75,483.0,2/17/2022,blue,24447.769999999997
Strafe RGB MK.2 (White),Keyboards,129.99,67.0,1098.0,Corsair,8.75,360.0,4/27/2023,white,142729.02000000002
"QLED Q70A (75"", Brown frame)",TVs,1699.99,0.0,643.0,Samsung,8.75,174.0,6/1/2020,brown,1093093.57
"Own the Run Tee (Green, XXL)",Clothing,35.0,0.0,878.0,Adidas,8.75,147.0,11/14/2023,green,30730.0
Charge 5 (Blue),Watches,149.95,,700.0,Fitbit,8.75,694.0,9/20/2020,blue,104964.99999999999
"Basket (Brown, EU 39)",Shoes,75.0,0.0,1361.0,Puma,8.5,691.0,4/4/2020,brown,102075.0
Galaxy Watch 5 (Black),Watches,279.99,12.0,455.0,Samsung,8.75,216.0,12/29/2023,black,127395.45
"MDR-7506 (Wired, Brown)",Headphones,100.0,236.0,976.0,Sony,9.25,115.0,12/13/2023,red,97600.0
K60 RGB Pro (Yellow),Keyboards,70.0,0.0,1124.0,Corsair,8.5,457.0,12/25/2024,yellow,78680.0
Lark Manor End Table (Yellow),Furniture,150.0,233.0,1472.0,Wayfair,8.75,728.0,12/9/2023,yellow,220800.0
"iPhone X (256GB, Orange)",Smartphones,749.0,0.0,1149.0,Apple,8.5,579.0,4/18/2021,orange,860601.0
"VivoBook 15 X512 (256GB, Brown)",Laptops,500.0,288.0,1339.0,Asus,8.5,742.0,1/10/2020,brown,669500.0
USB Mouse (Black),Mice,29.99,241.0,1074.0,Apple,8.75,334.0,6/21/2021,black,32209.26
Mamba Elite (Purple),Mice,89.99,256.0,1010.0,Razer,8.75,284.0,6/10/2025,purple,90889.9
"UA Rush T-Shirt (Yellow, L)",Clothing,35.0,446.0,1086.0,Under Armour,8.5,416.0,2/15/2020,yellow,38010.0
"MacBook Pro 14 (2021) (1TB, White)",Laptops,2299.0,216.0,1181.0,Apple,9.2,687.0,6/22/2023,white,2715119.0
Havalance Coffee Table (Purple),Furniture,299.99,474.0,998.0,Ashley Furniture,8.25,429.0,12/18/2024,purple,299390.02
"SoundLink Around-Ear II (Wireless, Black)",Headphones,229.0,26.0,1288.0,Bose,8.75,586.0,11/14/2024,black,294952.0
"Inspiron 14 5000 (128GB, Green)",Laptops,600.0,0.0,835.0,Dell,8.3,315.0,11/8/2024,green,501000.0
"Pro Tights (Green, L)",Clothing,65.0,351.0,1452.0,Nike,8.75,728.0,11/13/2022,green,94380.0
"Alphabounce (Black, EU 46)",Shoes,120.0,260.0,831.0,Adidas,8.5,184.0,10/12/2024,black,99720.0
Duo 7-in-1 (Green),Kitchen,99.99,56.0,1006.0,Instant Pot,8.5,350.0,7/13/2021,green,100589.93999999999
"Armour Fleece Pants (Red, XS)",Clothing,45.0,418.0,1148.0,Under Armour,8.5,475.0,3/31/2020,red,51660.0
"Ultraboost 21 (Brown, EU 39)",Shoes,180.0,466.0,1177.0,Adidas,8.75,461.0,12/8/2021,brown,211860.0
"Move Style Edition (Wireless, Green)",Headphones,99.99,144.0,654.0,Jabra,8.5,9.0,5/6/2021,green,65393.46
Darcy Sofa (Black),Furniture,450.0,247.0,1089.0,Ashley Furniture,8.75,403.0,10/11/2025,black,490050.0
Gear Fit2 Pro (Green),Watches,130.0,71.0,492.0,Samsung,8.35,376.0,3/23/2023,green,63960.0
Prime Wireless (Brown),Mice,139.99,309.0,1434.0,SteelSeries,8.75,689.0,11/23/2025,brown,200745.66
"MacBook Air M2 (2022) (512GB, Brown)",Laptops,1349.0,0.0,1061.0,Apple,9.25,392.0,10/5/2020,brown,1431289.0
G-Shock Rangeman (Green),Watches,300.0,425.0,579.0,Casio,8.75,463.0,12/8/2020,green,173700.0
Monster High Doll (Brown),Toys,25.99,297.0,1220.0,Mattel,7.8,733.0,7/15/2023,brown,31707.8
"50PUS7506 (50"", Orange frame)",TVs,450.0,40.0,843.0,Philips,7.8,413.0,3/6/2022,orange,379350.0
"TU8000 (50"", Brown frame)",TVs,400.0,7.0,1220.0,Samsung,8.5,618.0,6/10/2025,brown,488000.0
"LinkBuds S (Wired, White)",Headphones,79.99,490.0,1286.0,Sony,8.45,603.0,1/18/2022,red,102867.14
Cottage Road Coffee Table (Orange),Furniture,139.99,164.0,1031.0,Sauder,8.2,456.0,9/1/2023,orange,144329.69
K70 Pro Mini Wireless (Orange),Keyboards,179.99,61.0,872.0,Corsair,8.75,157.0,9/20/2024,orange,156951.28
"Ignite (Purple, EU 46)",Shoes,100.0,0.0,1374.0,Puma,8.75,637.0,6/30/2024,purple,137400.0
Forerunner 245 (Purple),Watches,299.99,390.0,412.0,Garmin,8.75,133.0,12/21/2022,purple,123595.88
Venu (Purple),Watches,349.99,274.0,538.0,Garmin,8.75,389.0,7/26/2020,purple,188294.62
Pro IntelliMouse (Gray),Mice,59.99,115.0,1388.0,Microsoft,8.75,655.0,7/7/2020,gray,83266.12000000001
"75R635 (43"", Gray frame)",TVs,499.0,4.0,655.0,TCL,8.5,71.0,1/4/2021,gray,326845.0
"50PUS7506 (43"", Gray frame)",TVs,350.0,30.0,627.0,Philips,8.2,100.0,12/22/2024,gray,219450.0
"XPS 17 (9700) (1TB, Black)",Laptops,2500.0,189.0,468.0,Dell,8.5,180.0,3/9/2024,black,1170000.0
G613 Wireless (Brown),Keyboards,100.0,404.0,892.0,Logitech,8.75,175.0,3/1/2022,brown,89200.0
"SB Icon Hoodie (Blue, XL)",Clothing,80.0,119.0,1068.0,Nike,8.75,334.0,7/26/2023,blue,85440.0
PlayStation 1 (Red),Gaming Consoles,80.0,229.0,1334.0,Sony,8.5,178.0,3/9/2021,red,106720.0
"Tab P11 (256GB, White)",Tablets,300.0,341.0,1206.0,Lenovo,8.5,572.0,10/24/2024,white,361800.0
"Air Zoom Pegasus 38 (White, EU 46)",Shoes,120.0,73.0,1522.0,Nike,8.75,767.0,10/8/2023,white,182640.0
"Tech Shorts (Purple, M)",Clothing,35.0,204.0,1128.0,Under Armour,8.7,393.0,5/31/2023,purple,39480.0
"HD 800S (Wireless, Purple)",Headphones,1699.0,0.0,839.0,Sennheiser,9.3,206.0,2/21/2025,purple,1425461.0
Baby-G BA110 (Blue),Watches,120.0,365.0,764.0,Casio,8.75,774.0,2/16/2023,blue,91680.0
"Galaxy Note20 (512GB, Purple)",Smartphones,1299.99,0.0,1167.0,Samsung,8.75,625.0,10/24/2024,purple,1517088.33
Flashback Portable (Red),Gaming Consoles,59.99,45.0,1536.0,Atari,7.5,565.0,9/1/2025,red,92144.64
"Basic Hoodie (Yellow, XS)",Clothing,24.99,0.0,796.0,H&M,8.5,139.0,12/9/2025,yellow,19892.039999999997
"Air Max 90 (Blue, EU 40)",Shoes,130.0,0.0,774.0,Nike,8.75,67.0,12/22/2022,blue,100620.0
"WH-1000XM4 (Wireless, Orange)",Headphones,348.0,27.0,1665.0,Sony,9.5,742.0,6/15/2025,orange,579420.0
DeathAdder Essential (Purple),Mice,49.99,111.0,679.0,Razer,8.5,25.0,9/2/2024,purple,33943.21
"Alphaskin Tights (Brown, XS)",Clothing,35.0,195.0,1209.0,Adidas,8.5,523.0,12/29/2021,brown,42315.0
Modern Keyboard with Fingerprint ID (Red),Keyboards,129.99,0.0,918.0,Microsoft,8.5,270.0,11/11/2021,red,119330.82
"MediaPad T5 (512GB, Yellow)",Tablets,280.0,59.0,931.0,Huawei,8.2,390.0,8/6/2023,yellow,260680.0
"WF-C500 (Wireless, Orange)",Headphones,79.99,0.0,1382.0,Sony,8.6,679.0,11/18/2021,orange,110546.18
"Suede Classic (Yellow, EU 39)",Shoes,70.0,138.0,637.0,Puma,8.45,2.0,8/12/2023,yellow,44590.0
Transformers Bumblebee (Blue),Toys,24.99,0.0,1395.0,Hasbro,8.75,654.0,1/9/2025,blue,34861.049999999996
"4-Series 55S435 (65"", Brown frame)",TVs,450.0,0.0,915.0,TCL,8.25,406.0,10/20/2025,brown,411750.0
Laugh & Learn Smart Stages Puppy (Brown),Toys,24.99,128.0,1307.0,Fisher-Price,8.75,545.0,8/6/2025,brown,32661.929999999997
"RS-X3 (Red, EU 42)",Shoes,110.0,128.0,932.0,Puma,8.5,282.0,12/23/2025,red,102520.0
Wade Logan Dining Table (Purple),Furniture,350.0,0.0,901.0,Wayfair,8.0,437.0,4/25/2020,purple,315350.0
PlayStation 4 (Gray),Gaming Consoles,299.99,355.0,1504.0,Sony,8.5,302.0,5/22/2024,gray,451184.96
"MediaPad T5 (512GB, Purple)",Tablets,300.0,0.0,1055.0,Huawei,7.5,702.0,4/14/2025,purple,316500.0
"6T (512GB, Green)",Smartphones,499.0,0.0,1364.0,OnePlus,8.5,744.0,2/22/2020,green,680636.0
"Galaxy Tab S4 (256GB, Purple)",Tablets,750.0,77.0,1312.0,Samsung,8.5,746.0,3/19/2023,purple,984000.0
"Beats Solo3 (Wired, White)",Headphones,150.0,178.0,1052.0,Apple,8.75,329.0,5/4/2021,red,157800.0
"Cortez (Blue, EU 44)",Shoes,100.0,342.0,770.0,Nike,8.75,51.0,7/10/2022,blue,77000.0
Modern Keyboard with Fingerprint ID (Purple),Keyboards,129.99,381.0,768.0,Microsoft,8.5,126.0,5/3/2022,purple,99832.32
"iPad mini (2021) (512GB, White)",Tablets,749.0,0.0,888.0,Apple,8.75,260.0,1/31/2021,white,665112.0
"Galaxy Note10 (64GB, Green)",Smartphones,750.0,0.0,917.0,Samsung,8.75,292.0,12/17/2024,green,687750.0
"Elite 45h (Wireless, Blue)",Headphones,99.99,182.0,1248.0,Jabra,8.7,526.0,5/8/2022,blue,124787.51999999999
"Galaxy Note10 (1TB, Yellow)",Smartphones,1399.0,0.0,1228.0,Samsung,8.75,702.0,12/21/2023,yellow,1717972.0
Xbox Series X (Black),Gaming Consoles,499.99,0.0,1811.0,Microsoft,9.2,339.0,2/27/2020,black,905481.89
Cynosa Chroma (Green),Keyboards,59.99,414.0,1025.0,Razer,8.5,352.0,2/16/2023,green,61489.75
Masters of the Universe He-Man (Red),Toys,24.99,0.0,1300.0,Mattel,8.75,559.0,3/18/2020,red,32486.999999999996
"NMD R1 (Blue, EU 39)",Shoes,140.0,308.0,756.0,Adidas,8.5,112.0,10/31/2023,blue,105840.0
Shoal Creek Dresser (Purple),Furniture,250.0,348.0,1166.0,Sauder,8.25,587.0,9/10/2020,purple,291500.0
"55OLED806 (50"", Orange frame)",TVs,1200.0,172.0,510.0,Philips,8.5,35.0,10/25/2023,orange,612000.0
"HD 450BT (Wired, Purple)",Headphones,99.95,73.0,1468.0,Sennheiser,8.5,804.0,1/6/2020,red,146726.6
Sense (Orange),Watches,99.95,0.0,561.0,Fitbit,8.75,376.0,4/26/2023,orange,56071.950000000004
"ENVY 13 (1TB, Orange)",Laptops,1150.0,356.0,1231.0,HP,8.4,762.0,10/22/2023,orange,1415650.0
Approach S62 (Gray),Watches,499.99,0.0,576.0,Garmin,8.75,474.0,6/4/2020,gray,287994.24
"Surface Go 3 (1TB, Red)",Tablets,799.0,0.0,691.0,Microsoft,8.2,229.0,4/15/2023,red,552109.0
Pro IntelliMouse (Brown),Mice,59.99,367.0,1281.0,Microsoft,8.5,600.0,7/23/2020,brown,76847.19
WWE Action Figure (Yellow),Toys,19.99,0.0,1128.0,Mattel,8.5,441.0,8/19/2022,yellow,22548.719999999998
Smart WiFi (Yellow),Kitchen,130.0,0.0,935.0,Instant Pot,8.75,201.0,8/7/2021,yellow,121550.0
Xbox Series X (White),Gaming Consoles,499.99,447.0,2352.0,Microsoft,8.75,784.0,8/10/2021,white,1175976.48
"OLED B1 (50"", Green frame)",TVs,1300.0,5.0,1213.0,LG,8.4,751.0,7/17/2023,green,1576900.0
Rubik's Cube (White),Toys,12.99,437.0,1104.0,Spin Master,8.5,427.0,1/9/2025,white,14340.960000000001
"Ultraboost 21 (Purple, EU 46)",Shoes,180.0,39.0,944.0,Adidas,8.75,218.0,7/14/2022,purple,169920.0
"EliteBook 840 G6 (64GB, Purple)",Laptops,1200.0,0.0,1358.0,HP,8.75,802.0,6/5/2021,purple,1629600.0
"Rox Wireless (Wireless, Orange)",Headphones,80.0,461.0,1148.0,Jabra,8.5,483.0,1/7/2023,orange,91840.0
"HD 800S (Wireless, Orange)",Headphones,1699.95,0.0,988.0,Sennheiser,9.2,377.0,6/30/2021,orange,1679550.6
Galaxy Watch 4 Classic (Blue),Watches,299.0,334.0,644.0,Samsung,8.5,653.0,7/22/2025,blue,192556.0
Watch Series 7 (Gray),Watches,399.0,0.0,419.0,Apple,8.5,223.0,7/8/2024,gray,167181.0
"MacBook Air (2017) (1TB, Purple)",Laptops,450.0,208.0,542.0,Apple,8.0,96.0,5/11/2022,purple,243900.0
Billy Bookcase (White),Furniture,79.99,0.0,1110.0,IKEA,8.7,393.0,6/28/2024,white,88788.9
"513 Slim Straight (Yellow, XXL)",Clothing,69.99,0.0,927.0,Levi's,8.3,303.0,7/17/2020,yellow,64880.729999999996
"MediaPad M6 (64GB, Green)",Tablets,280.0,82.0,1193.0,Huawei,8.5,551.0,5/31/2023,green,334040.0
"Galaxy Tab S4 (64GB, White)",Tablets,350.0,37.0,821.0,Samsung,8.5,211.0,3/29/2023,white,287350.0
