"id","imdb_id","imdb_score","imdb_votes","tmdb_score","tmdb_popularity"
"ts34435","tt0213338",8.9,115448,8.522,35.402
"tm192037","tt0120201",7.3,291452,6.993,29.5
"tm27395","tt0120755",6.1,337987,6.1,29.392
"tm113513","tt0109686",7.3,379999,6.6,31.852
"ts20983","tt0112159",8.5,66629,8.637,49.27
"tm192405","tt0119177",7.8,300701,7.553,17.789
"tm116655","tt0110413",8.5,1137357,8.323,51.406
"ts21567","tt0238784",8.2,121462,7.827,58.578
"tm116488","tt0110632",7.3,11,7.1,21.933
"tm11556","tt0114214",6.5,93767,6.5,13.056
"tm56574","tt0128853",6.7,211635,6.643,21.724
"ts20960","tt0106064",6.5,22110,6.8,19.699
"tm53991","tt0142342",6.4,215053,6.45,26.848
"tm49178","tt0120877",6.1,58670,6.3,10.108
"ts25252","tt4834194",7.3,21113,7.358,33.504
"tm191989","tt0119008",7.7,303868,7.5,22.225
"ts22193","tt0108847",7.8,9829,7.8,16.83
"ts22489","tt0111987",7.6,13493,7.9,63.687
"ts21034","tt0290223",7.9,15823,8.6,62.355
"tm121879","tt0105265",7.2,59854,7.1,19.58
"tm44402","tt0172493",7.3,183154,7.6,20.424
"tm187187","tt0107362",6.4,150498,6.379,22.196
"ts16919","tt0111875",7.5,7718,8.4,6.688
"tm6859","tt0102492",6.9,80590,7.4,20.545
"tm118238","tt0111756",6.7,50774,6.751,14.677
"tm111163","tt0116213",6.1,110921,6,19.437
"tm190835","tt0169858",8,53152,8.4,32.569
"tm192769","tt0120434",5.9,49377,6.1,12.537
"tm187791","tt0107206",7.2,102916,6.973,19.8
"tm113576","tt0110367",7.3,58178,7.314,13.683
"tm65686","tt0120873",6.5,105286,6.5,24.205
"ts8570","tt0144701",3.8,9624,4.9,14.641
"tm191387","tt0118615",4.8,104213,5.1,34.405
"ts27693","tt0115231",7.8,15620,8.3,33.544
"tm19494","tt0191397",6.6,64771,6.6,30.982
"tm191772","tt0120102",7.1,142903,7.2,13.766
"tm12499","tt0113957",5.9,66667,6,15.935
"tm186589","tt0106582",6.5,128972,6.5,27.78
"tm189764","tt0107554",7.5,58179,7.542,13.928
"tm10739","tt0113481",5.6,71563,5.7,10.75
"tm1822","tt0109015",4.5,9321,5.5,12.603
"tm55369","tt0138414",6.8,6549,6.5,6.276
"ts251477",NA,NA,NA,7.8,7.73
"tm192431","tt0962637",6.2,65323,6.1,12.863
"ts22286","tt0221735",8,5008,8.7,35.757
"tm192199","tt0120177",5.2,68184,5.343,16.989
"ts11397","tt0222518",6.2,3902,6.3,13.313
"tm56033","tt0159382",7,21599,6.8,8.381
"ts21581","tt0247102",7.2,4528,7.7,12.163
"tm117488","tt0110657",4.5,30422,5.318,20.185
"tm190811","tt0107004",6.5,11709,6.3,8.136
"tm191431","tt0119013",4.8,34396,5.1,14.599
"tm10811","tt0113280",6.8,5047,6.8,3.308
"tm49839","tt0119905",5.9,6676,6.3,9.25
"ts20918","tt0200353",6.8,2377,8.1,5.745
"ts21693","tt0108927",6.2,12657,7.5,21.489
"ts20939","tt0115275",5.8,3747,7,10.901
"ts21684","tt5582224",7.8,3139,7.3,7.222
"ts22080","tt0213363",7.4,4281,7.5,40.189
"tm67635","tt0172684",7.6,52036,7.7,12.35
"tm320211","tt6051792",6.3,612,6.4,0.685
"tm7073","tt0102227",4.5,3207,5.1,7.945
"ts28516","tt0289649",9,2399,8.8,8.565
"tm117873","tt0110076",7.5,21123,6.5,6.314
"tm55100","tt0164538",7.5,28586,6.8,7.811
"tm64817","tt0500140",7.9,5879,7.6,5.822
"ts22039","tt0173554",7.4,1727,7.6,7.905
"tm188606","tt0108041",7,692,6.5,1.858
"tm41525","tt0221344",7.8,6035,7.9,10.506
"tm189171","tt0108291",6.7,1584,6.1,5.092
"tm63514","tt0174852",7.9,4378,7.8,3.766
"tm21911","tt0249934",6.6,276,6,0.656
"tm188970","tt0152183",8.5,3098,8.1,3.784
"tm12876","tt0112553",8.1,12629,7.2,4.99
"ts224786",NA,NA,NA,7.6,7.352
"tm62176","tt0206921",6.1,5451,6.7,2.595
"tm52871","tt0211634",6.2,3063,5.7,3.623
"tm8687",NA,NA,NA,6.1,1.84
"tm104933","tt0938333",6.8,116,5.8,1.536
"tm184326","tt0106655",7.8,3523,7.3,3.328
"tm62385","tt0216817",6.2,8552,6,7.865
"tm191614","tt0119629",7.1,2857,6.7,3.287
"tm110766","tt0115895",6.9,733,6.7,2.099
"tm9898","tt0140399",7.6,3056,6.9,3.576
"tm47530","tt0151121",6.4,3604,6.5,3.393
"tm57169","tt0287570",7.8,1096,6.9,2.681
"tm192301","tt0274789",6.7,1226,6.6,2.316
"tm58893","tt0164550",5.5,7618,6,4.112
"tm110160","tt0139872",7.9,2586,7.5,2.828
"tm118438","tt0109134",6.6,6532,7.1,3.806
"tm424630","tt0103123",7.2,250,5.1,1.533
"tm27601","tt0222270",6.1,7610,6.6,7.778
"tm203186","tt0243174",8.1,78,6.7,1.635
"tm128073",NA,NA,NA,7.8,3.822
"tm7951","tt0294967",6,198,7,2.297
"tm7135",NA,NA,NA,7.5,1.08
"tm52083","tt0157183",7.6,4221,7.3,3.308
"tm340430","tt0187096",6.6,356,4,1.248
"tm7032","tt0102058",6.9,376,6.2,2.481
"tm256669","tt0107060",6.1,795,6.7,1.763
"tm64729","tt0938332",6.3,65,5.2,1.83
"tm184224","tt0938331",7.8,172,5.5,3.793
"tm25389","tt0248012",6,4213,6.3,2.835
"tm34391","tt9230920",7.3,168,8.5,1.444
"tm44776","tt0196355",5.9,997,5.9,1.12
"tm334788","tt0267130",4.5,198,5,1.554
"tm117840","tt0110545",6.5,1015,6,1.4
"tm42397","tt0233856",4.6,4262,5.3,4.338
"tm314602","tt0112916",5,249,7.5,2.045
"tm255589",NA,NA,NA,5.2,1.89
"tm7810","tt0102537",5.5,345,6,2.713
"tm210754",NA,NA,NA,7.6,1.396
"tm449775","tt0170416",5.8,68,5,1.323
"ts4","tt0903747",9.5,1775990,8.79,353.848
"ts20371","tt1628033",8.7,117240,7.4,45.549
"ts9","tt1520211",8.2,956604,8.1,597.277
"ts21465","tt0460681",8.4,434081,8.278,388.093
"tm74402","tt0884328",7.1,305346,6.9,37.369
"tm91952","tt0377092",7.1,375975,7.2,57.235
"ts288536","tt1877368",8.6,9856,7.7,5.581
"ts12724","tt0496424",8.3,122698,7.4,48.88
"ts6644","tt1526318",8.5,25485,8.1,51.118
"ts8308","tt1439629",8.5,257221,8,42.357
"tm111828","tt0264464",8.1,952602,8,72.321
"ts21469","tt0413573",7.6,299165,8.252,803.786
"ts17156","tt0367279",8.7,300445,8.043,30.131
"ts22011","tt1094229",8.4,16337,8.3,74.638
"ts26091","tt8178674",7.8,21531,7.7,10.922
"tm150112","tt0302886",7,229171,6.577,17.131
"ts22337","tt0364845",7.8,143846,7.6,251.622
"ts3371","tt0417299",9.3,303666,8.7,56.915
"tm80906","tt0357413",7.1,353118,6.7,20.606
"ts20604","tt0758745",8.7,65199,8.1,19.681
"ts20573","tt0487831",8.5,149586,8.108,31.031
"tm92641","tt1375666",8.8,2294231,8.4,108.284
"ts22099","tt0976192",8.3,14996,8.705,41.509
"tm27911","tt0407887",8.5,1296244,8.2,33.795
"ts21464","tt0415463",6.1,15808,8.2,53.044
"tm88465","tt1591095",6.8,303820,6.929,99.129
"tm172683","tt0407304",6.5,444229,6.474,36.989
"ts11313","tt0877057",9,309445,8.664,120.545
"ts21247","tt1405406",7.7,314422,8.348,479.354
"ts20305","tt0409591",8.4,96729,8.363,218.843
"tm42877","tt0493464",6.7,384995,6.5,33.101
"tm39030","tt0381061",8,649676,7.518,40.164
"ts21511","tt1751105",7.6,20910,8.1,52.369
"tm997728",NA,NA,NA,9,0.055091
"ts17942","tt0353049",8.8,63107,8.1,14.116
"tm89677","tt0362227",7.4,441752,7.3,21.384
"tm78592","tt0465538",7.2,165109,6.7,16.97
"tm105329","tt0257044",7.7,265216,7.4,18.739
"ts30311","tt1604099",6.9,24838,8.221,71.494
"tm139658","tt0319061",8,437650,7.769,21.158
"tm26327","tt0887912",7.5,446904,7.3,28.341
"tm95477","tt0332452",7.3,527447,7.1,48.407
"tm154187","tt0988045",7.6,625708,7.2,43.297
"ts22267","tt0290988",8.6,42733,8,22.603
"tm133767","tt0314331",7.6,476101,7.1,36.484
"ts2230","tt0363307",5.6,17905,5.3,14.501
"tm45454","tt0425061",6.5,216695,6.2,22.421
"tm26897","tt0830515",6.6,444241,6.304,31.298
"tm133374","tt0878804",7.6,327675,7.661,63.663
"tm195620",NA,NA,NA,9.8,4.147341
"tm136808","tt0309698",7.3,240433,7.181,19.558
"tm70807","tt0480249",7.2,745093,7.192,69.139
"ts19036","tt0235918",7.2,38046,7.7,67.192
"tm93055","tt1375670",5.9,249934,6.333,98.37
"tm85811","tt0265208",6.7,223380,6.7,37.315
"ts22456","tt0405576",7.4,17864,8.6,33.115
"tm101914",NA,NA,NA,7.4,17.007
"tm131038","tt1152836",7,300773,6.7,85.039
"tm58382","tt0277371",5.7,105352,5.8,36.438
"tm35463","tt0221027",7.5,258431,7.4,24.348
"tm30603","tt0448157",6.4,476593,6.33,121.985
"ts22018","tt0972534",6.7,38877,8,100.996
"tm20959","tt0454921",8,501457,7.9,47.893
"tm136308","tt0340855",7.3,150339,7.2,16.309
"tm29737","tt0462499",7,230333,6.6,72.224
"tm148270","tt0337741",6.7,121364,6.6,14.619
"tm89036","tt0366551",7,194695,6.5,15.026
"tm46436","tt0245674",5.6,87083,6.2,50.592
"ts21197","tt1199099",7.9,80927,7.9,74.931
"ts21544","tt1659175",7.9,6636,8,28.925
"tm150260","tt0844471",6.9,229274,6.6,58.945
"ts31263","tt0270792",7.6,1155,7.8,2.189
"ts30313","tt1530541",8.3,4880,7,10.243
"tm79895","tt0373883",6,119606,6.2,38.491
"ts12787","tt0994314",8.7,62367,8.493,35.011
"tm116324","tt0322802",6.6,94423,6.3,25.23
"tm39828","tt0839980",5.8,82159,5.6,12.789
"tm23935","tt0410297",6.8,149070,7,16.31
"tm78067","tt0830558",6.5,26293,6.7,13.131
"tm95252","tt1037705",6.8,314920,6.8,30.476
"tm32919","tt0450259",8,541547,7.5,47.39
"tm169949","tt0425123",6.7,108029,6.9,17.486
"tm30205","tt1220719",8,222372,7.7,21.074
"tm40009","tt0478087",6.8,249016,6.7,27.013
"tm141390","tt0758746",5.5,106970,5.8,45.551
"ts35155","tt0948103",8.3,17024,8.2,27.924
"tm94606","tt1228987",7.1,121008,6.8,22.791
"ts15986","tt1285482",7.6,19812,7.3,9.68
"tm102337","tt1179056",5.2,99894,5.5,39.672
"ts22318","tt7396266",6.2,6700,8.222,25.633
"tm159901","tt0385307",5.1,74637,5.7,21.495
"tm74780","tt0825232",7.4,244028,7.2,22
"ts30356","tt1710177",7.6,1083,7.4,40.327
"ts32186","tt0367413",6.2,4709,7.5,37.945
"tm24088","tt0362120",5.1,120997,5.5,83.018
"tm111600","tt0253867",5.1,58884,5.5,10.625
"tm88045","tt1341188",5.4,50383,5.251,9.889
"tm78919","tt0453451",6.4,125160,6.3,32.512
"tm173066","tt0373926",6.4,106781,6.299,12.694
"tm118637","tt0251160",7,133215,7.121,32.229
"tm142564","tt1187043",8.4,390739,8,44.999
"tm57190","tt0267804",5.9,92007,6.1,21.223
"ts21706","tt0491603",7.2,15179,7.8,30.832
"tm137362","tt0324216",6.2,141736,6.2,80.47
"ts24028","tt0281491",8.9,7689,8.3,5.128
"tm148379","tt0312528",4,82684,5.3,66.8
"tm137342","tt0314353",6.6,121957,6.797,43.254
"tm90864","tt1231583",6.5,341390,6.3,36.06
"ts21740","tt1316554",8.2,1877,7.5,36.122
"tm32144","tt0758794",7,61345,6.9,13.173
"tm141707","tt0346631",6.7,33051,7.4,33.787
"tm150214","tt0329101",5.7,118925,6,65.747
"tm81030","tt0385752",6.1,187485,6,20.255
"ts687","tt0389564",7.3,45249,7.2,37.169
"tm147211","tt1234548",6.2,132177,6,19.022
"ts31514","tt1190823",7,13,6.9,31.584
"ts33559","tt0983983",8.1,28,7.9,31.375
"tm78671","tt0896798",6.1,42285,6,11.509
"ts26322","tt1279024",8,14828,8.5,24.352
"ts12815","tt1131746",6.3,12288,8.774,55.706
"tm27268","tt0385880",6.6,117008,6.6,51.891
"tm86189","tt0452625",5.6,90212,5.9,30.423
"tm700","tt0443649",5.1,130813,5.4,24.671
"tm101249","tt1385867",5.5,88026,5.6,13.63
"tm161263","tt0402901",5.1,38734,5.3,13.695
"tm81270","tt0335438",6.1,146880,5.8,13.938
"tm89684","tt0363282",4.9,23476,6.2,11.818
"tm165593","tt0398375",5.5,58247,5.6,13.521
"tm112381","tt0328962",6.9,6985,6.7,4.854
"tm39487","tt0395495",5.9,26528,5.9,9.435
"ts23752","tt1882928",8.6,2256,7.9,7.356
"tm43399","tt0169102",8.1,111053,7.3,10.097
"ts21421","tt0487849",3.9,93,7.1,27.339
"ts22005","tt1173427",7.3,10886,7.3,16.655
"ts20398","tt0272397",8.3,4261,6.6,3.926
"tm186461",NA,NA,NA,7.7,7.58
"tm29555","tt0436331",5.8,30468,5.1,11.86
"tm103095","tt1386932",7.5,104500,7.5,4.516
"tm97070","tt1055292",6.5,131623,6.9,40.534
"tm101334","tt1321509",5.7,49901,5.8,15.989
"tm183963","tt0418647",6.8,13205,6.9,10.235
"tm76428",NA,NA,NA,6.1,28.197
"tm77649","tt0477071",5.9,78494,6.3,14.21
"tm86924","tt0367085",4.5,23048,5.3,21.864
"ts98340","tt6954486",NA,NA,NA,0.893
"tm26638","tt0420294",5.8,72845,6.1,57.763
"tm78189",NA,NA,NA,5.6,15.026
"ts20544","tt0816397",8.2,9929,8.4,18.186
"ts23835","tt1884856",7.5,3169,6.9,38.171
"tm104880","tt1421373",8.4,12089,7.9,5.717
"ts30288","tt1587790",7.8,1291,7.9,10.936
"ts38159","tt1807824",8.1,1497,8.9,19.736
"tm22294","tt0790604",5,27936,5.5,11.999
"tm100015","tt1135084",6.2,62464,6.228,15.872
"ts25765","tt1209393",7.3,5245,8.4,17.547
"ts21688","tt1370334",7.9,11902,8.28,80.384
"tm83786","tt0986264",8.3,189685,8.012,17.66
"tm130574","tt1314228",4.9,40551,5.4,12.459
"tm114476","tt0243585",5.5,54193,5.733,36.691
"ts20535","tt1470837",5.4,2578,5.2,25.677
"ts1893","tt1436544",7.4,1261,6.6,11.735
"tm118462","tt0297162",4.6,15740,5.2,12.906
"ts12701","tt0417311",7.3,5165,7.7,9.597
"ts121176","tt6950338",6.5,346,8.8,5.014
"tm86995","tt0388419",5.4,49302,6.1,17.708
"ts20526","tt0772137",6.6,4449,8.4,12.124
"ts23808","tt1422182",8.1,1768,7.9,2.422
"tm97544","tt1213012",5.1,14362,5.9,13.523
"ts31593","tt3968668",6.3,91,5,4.404
"ts27459","tt1059455",7,1422,6,21.479
"ts3666","tt1033796",7.8,881,7.9,13.045
"tm53999",NA,NA,NA,5.8,18.558
"tm164557","tt5320634",6.3,8678,6.7,18.607
"tm80059","tt0988982",6.7,4090,7.2,316.471
"tm135451","tt1295085",7.6,10881,7.8,43.409
"tm71558","tt1003009",6.1,511,7.6,47.66
"tm134235","tt1485763",7.5,5467,7.5,39.946
"tm160800","tt0402910",6.4,54900,6.3,17.029
"tm22342","tt0456020",5.8,9990,6.6,15.58
"ts42914","tt2046005",6.8,671,5.8,19.476
"tm22636","tt0425601",7.1,12910,6.7,6.191
"ts21967","tt0454349",5.1,8322,5.6,22.516
"tm85549","tt0417202",7.2,3214,7.8,1.814
"tm100688","tt1422032",7.4,13533,6.9,8.526
"tm22493","tt0865482",7.6,1819,6.5,3.787
"ts14102","tt1516172",4.2,123,6,1.52
"tm103732","tt1639426",8.1,44862,7.3,5.019
"tm73058","tt1423972",6.7,43052,7.021,11.847
"tm138497","tt1337032",7.3,7488,6.8,4.683
"ts20358","tt0320024",7,1860,8.1,8.06
"tm36475","tt0248126",7.4,49273,7.9,13.699
"tm144345","tt0347304",7.9,68551,7.5,12.001
"tm76835","tt1093370",7.9,52531,7.4,8.69
"tm38896","tt1673402",5.6,7650,5.6,7.282
"tm86051","tt0400234",8.4,20768,7.4,5.753
"ts74931","tt6963796",7.1,59,NA,NA
"tm29269","tt0449994",7.5,32440,7.4,11.959
"ts17028","tt1524993",5.6,737,8.2,28.909
"tm91046","tt1764141",7.4,4421,7.7,4.431
"tm75022","tt0804558",7.2,3977,7,4.43
"tm41508","tt0486578",4.5,10927,5.6,8.809
"ts67595","tt0283770",7.5,325,7.8,32.626
"tm49405","tt0322645",7.2,2593,7.6,36.262
"tm82765","tt0367110",8.1,89556,7.4,10.352
"tm33981","tt0443521",6.5,61,6.4,7.956
"ts52849","tt0985991",6.3,944,8,2.36
"tm95238","tt1451423",5.9,3315,6.4,17.774
"tm32885","tt0405508",8.1,118477,7.2,6.848
"ts72322","tt1585368",6.6,293,7.4,27.667
"ts63295","tt0459724",8.8,1051,8.8,1.41
"ts23319","tt1125758",6.9,1111,6.2,14.959
"ts21695","tt1757202",7.8,1951,7.6,9.239
"tm72587","tt0499375",7.7,23708,6.7,8.071
"tm99776","tt1659261",6.2,917,5.9,2.718
"tm83175","tt0488798",7,22243,6.5,8.815
"tm139349","tt1390471",7.7,2564,7,4.283
"tm59880","tt1188112",7.6,1794,7.5,3.826
"ts56589","tt3270208",5.3,158,6.3,4.871
"tm61056","tt0292490",8.1,71586,7,5.704
"tm129763","tt0367495",8.7,21167,7.5,4.634
"ts21664","tt0284770",7,2323,7.9,6.204
"tm44378","tt1223975",6.8,4255,6.3,3.891
"tm25842","tt0492472",8.7,324,6.5,2.821
"tm34846","tt1339302",7.1,2207,7,40.732
"tm71119","tt0800003",3.6,11177,5,10.367
"tm170873","tt0492896",7,1981,6.1,2.951
"tm22540","tt0419058",7.1,23119,6.4,8.428
"tm96037","tt1703048",6.8,3650,7,97.631
"tm110923","tt0274428",6.6,3598,6.4,2.894
"tm168869","tt0484275",7.3,928,6.4,1.366
"ts37200","tt1074443",6.3,122,7.2,1.841
"tm147686","tt1420554",7.5,4411,7.3,6.236
"tm93612","tt1785394",7.4,2416,7.4,53.143
"tm36164","tt1160524",6.8,4551,7.2,109.752
"tm30170","tt0461936",7.1,37131,7.1,8.892
"tm29731","tt0464160",6.9,10810,6.1,3.942
"tm147494","tt1481363",7,3702,7.3,101.203
"tm44530","tt0964516",6.9,12533,6.3,7.048
"tm89936","tt0404777",6.6,3841,6.6,12.181
"ts98353","tt6958564",6.2,19,NA,0.88
"ts44663","tt2080922",7.4,586,7.4,4.963
"tm81461","tt0331370",7.1,6293,6.8,5.108
"tm155761","tt1252596",6.3,14603,6.1,6.675
"tm48083","tt0217085",5,75,2,0.967
"tm84348",NA,NA,NA,5.3,7.867
"tm175687","tt0469589",7.6,783,7,2.089
"tm33067","tt1017456",7,63,6.1,5.732
"tm70222","tt0479751",7.5,19777,7.1,7.686
"tm105278","tt0366621",7.3,2148,7.6,30.957
"tm352243","tt6978288",5.9,611,5.1,1.378
"ts98316","tt6951568",7.2,208,NA,1.139
"tm82718","tt0384116",8,62386,7.2,7.047
"tm98975","tt1438298",7.4,18603,7.4,5.554
"ts98252","tt6953650",6.5,97,NA,3.42
"tm101609","tt1291465",7.1,17697,6.3,3.761
"tm418157","tt19880958",NA,NA,6.5,2.177
"tm39557","tt0473367",7.4,26894,6.8,7.196
"tm150521","tt1202514",6.6,3327,6.6,5.165
"tm30289","tt0806102",8,4000,6.6,5.406
"tm141117","tt0346723",6.5,15468,6.2,6.121
"tm80339","tt0476680",6.6,6866,7.2,50.604
"tm33729","tt0476884",7.2,9964,6.5,2.636
"tm93004","tt0382383",7.3,8929,6.4,3.893
"ts13411","tt0907286",7.1,61,7,0.6
"ts1464","tt1260520",8,774,7.5,189.665
"tm145243","tt1324059",7.6,31167,7.1,5.035
"tm34524","tt1206326",7,1233,7.1,51.441
"tm111226","tt0319020",6.2,8393,5.5,5.941
"tm23441","tt0449999",6,19947,6.4,9.421
"tm166293","tt0457802",7.3,2097,6.3,2.177
"tm24576","tt1071815",6.4,4050,7,58.559
"tm92977","tt1345777",7.3,10469,6.3,3.912
"tm77348","tt0800956",7.4,12036,6.4,3.965
"ts34414","tt1233451",7.1,211,7.8,13.94
"ts29199","tt0795156",7.9,441,8,0.6
"tm91323","tt1667838",5.6,8042,5.9,6.801
"tm88366","tt0347473",7,35484,6.9,12.629
"tm156575","tt1230448",6.3,11884,6.5,7.028
"tm164389","tt0451850",6.3,13263,6.3,6.607
"tm37945","tt1230165",7.7,22092,6.9,4.956
"tm106625","tt1608777",7.2,5684,6.1,3.126
"tm65142","tt1037116",6.9,1660,6.7,38.807
"tm99450","tt1578261",5.1,4275,5.8,3.068
"tm149209","tt1274295",7.4,17219,6.8,6.585
"tm23977","tt0442236",6.2,1129,5.8,2.585
"tm160596","tt0448267",6.5,3225,6,1.899
"tm129971","tt0886539",7.1,10272,6.5,4.932
"tm56428","tt1324027",7.8,3555,7.4,4.344
"ts18653","tt4570986",4.1,885,6.1,1.504
"tm177687","tt0791188",6.4,4380,6.6,41.579
"tm77863","tt0808306",6.1,2648,5.3,5.216
"tm80455","tt0920464",7.6,8110,6.5,4.553
"tm184732","tt1433810",7,13167,6.4,7.689
"tm89764","tt0473658",7.2,1845,7.7,34.264
"ts4866","tt1483930",7.4,476,7.2,4.692
"tm134407","tt1327035",7.9,30567,6.9,7.069
"tm103133","tt1373156",7.1,12114,6.3,7.725
"tm54147","tt1185420",6.5,15063,6.2,8.613
"ts137477","tt5170230",7.2,43,NA,NA
"ts19384",NA,NA,NA,7.5,1.487
"tm101684","tt1587263",5.3,5111,4.7,4.254
"tm152724","tt1185442",5.7,5162,4.7,4.865
"ts204466","tt0355119",8.5,195,NA,1.791
"tm96168","tt1395054",7.4,17642,6.6,4.465
"tm146887","tt1043451",6.1,7761,5.8,2.951
"tm138902","tt0396659",7.6,2226,7.8,43.092
"tm165809","tt0476527",6.6,6370,5.8,4.763
"tm31335","tt1092005",5.1,7983,5,6.084
"tm43179","tt1292703",7.7,17538,6.9,4.31
"tm170169","tt0415908",4.7,5370,4.3,5.129
"tm84316","tt0811066",7.1,10213,6.5,5.534
"tm112235","tt0312859",8.4,8491,7.4,3.739
"tm368679","tt0417528",8.4,379,7,1.948
