"id","age_certification"
"tm83175",NA
"tm139349",NA
"tm59880",NA
"ts56589","TV-Y"
"tm61056","G"
"tm129763",NA
"ts21664","TV-14"
"tm44378",NA
"tm25842",NA
"tm34846","PG-13"
"tm71119","PG-13"
"tm170873","R"
"tm22540",NA
"tm96037","PG-13"
"tm110923",NA
"tm168869",NA
"ts37200","TV-G"
"tm147686","R"
"tm93612","PG-13"
"tm36164","PG-13"
"tm30170","PG-13"
"tm29731","G"
"tm147494","PG-13"
"tm44530","PG-13"
"tm89936",NA
"ts98353","TV-PG"
"ts44663","TV-Y"
"tm81461",NA
"tm155761","PG"
"tm48083",NA
"tm84348","R"
"tm175687",NA
"tm33067","PG-13"
"tm70222","PG-13"
"tm105278","PG-13"
"tm352243","PG-13"
"ts98316","TV-G"
"tm82718","PG-13"
"tm98975","PG"
"ts98252","TV-PG"
"tm101609","PG"
"tm418157",NA
"tm39557",NA
"tm150521","R"
"tm30289","PG-13"
"tm141117","PG-13"
"tm80339","PG-13"
"tm33729",NA
"tm93004","PG"
"ts13411","TV-14"
"ts1464","TV-MA"
"tm145243",NA
"tm34524","PG-13"
"tm111226",NA
"tm23441","PG"
"tm166293",NA
"tm24576","PG-13"
"tm92977","R"
"tm77348",NA
"ts34414","TV-MA"
"ts29199","TV-PG"
"tm91323","PG"
"tm88366","PG"
"tm156575","PG"
"tm164389","PG-13"
"tm37945",NA
"tm106625","PG-13"
"tm65142","PG-13"
"tm99450",NA
"tm149209","PG-13"
"tm23977",NA
"tm160596",NA
"tm129971",NA
"tm56428",NA
"ts18653",NA
"tm177687","PG-13"
"tm77863","PG-13"
"tm80455","R"
"tm184732",NA
"tm89764","PG-13"
"ts4866","TV-G"
"tm134407","PG-13"
"tm103133","PG"
"tm54147","PG-13"
"ts137477","TV-14"
"ts19384","TV-14"
"tm101684","G"
"tm152724","R"
"ts204466","TV-MA"
"tm96168","PG-13"
"tm146887",NA
"tm138902","PG-13"
"tm165809","PG"
"tm31335","PG"
"tm43179",NA
"tm170169",NA
"tm84316","PG-13"
"tm112235",NA
"tm368679",NA
"ts74928","TV-14"
"tm148041","PG-13"
"tm176297",NA
"tm68191",NA
"tm352863",NA
"tm25029",NA
"ts40702","TV-14"
"tm237621","PG-13"
"tm22989",NA
"tm35652","PG-13"
"tm80487","G"
"tm44634",NA
"tm22558",NA
"tm52352",NA
"tm104349",NA
"tm85243",NA
"tm36636",NA
"tm226362",NA
"tm145690",NA
"tm31564","R"
"tm41953",NA
"tm98475","PG"
"tm95434",NA
"ts44053","TV-MA"
"tm96595","G"
"tm87909","G"
"ts4924","TV-14"
"ts178360","TV-MA"
"ts56595","TV-Y"
"tm154802",NA
"tm51493",NA
"tm97982","PG"
"tm52176","PG"
"tm102848","PG"
"tm114504",NA
"ts160526","TV-14"
"tm340006",NA
"tm154375","PG"
"tm134140",NA
"tm27484","G"
"tm81864",NA
"tm241875",NA
"tm29028",NA
"tm164591",NA
"tm130301",NA
"tm712151",NA
"ts12444","TV-MA"
"tm91176",NA
"ts95855","TV-14"
"tm143510","G"
"tm308960",NA
"tm144835",NA
"tm135795",NA
"tm34924",NA
"tm49865","NC-17"
"ts39604","TV-14"
"tm598375","G"
"tm96052",NA
"tm62369",NA
"tm32915",NA
"ts1413","TV-14"
"tm254052",NA
"tm91125",NA
"ts8614","TV-14"
"tm100106",NA
"ts188031",NA
"tm85689",NA
"ts25707","TV-14"
"tm38454","PG-13"
"tm57586",NA
"ts23797","TV-14"
"tm76029",NA
"tm42831",NA
"ts70843","TV-14"
"tm216753",NA
"tm168751",NA
"tm101540",NA
"tm142153",NA
"tm92671",NA
"tm88343",NA
"ts23353","TV-14"
"tm628693",NA
"tm155774",NA
"tm46867",NA
"tm95507","G"
"tm75544","PG"
"tm144263","G"
"tm21155",NA
"tm85369","PG"
"ts126804","TV-PG"
"tm341561",NA
"tm140653",NA
"tm311516",NA
"ts29581","TV-14"
"tm152413",NA
"ts82583","TV-MA"
"tm130999","PG"
"tm28024","PG"
"tm1077037","G"
"tm85563",NA
"ts124246",NA
"tm254745",NA
"tm76399",NA
"ts86241","TV-MA"
"tm481594","G"
"ts82592","TV-14"
"tm639940",NA
"tm404676",NA
"tm89054",NA
"tm252951",NA
"tm87672",NA
"ts20660","TV-MA"
"tm68272","R"
"tm61801","R"
"tm44730","PG-13"
"ts21095","TV-Y7"
"tm39888","PG-13"
"tm166978","PG-13"
"ts20564","TV-14"
"ts8175","TV-PG"
"ts278","TV-MA"
"tm170442","R"
"tm41792","R"
"ts21580","TV-14"
"ts32835","TV-14"
"ts21599","TV-14"
"tm32982","PG-13"
"tm60292","R"
"ts27680","TV-14"
"ts20433","TV-MA"
"tm171885","PG"
"tm158304","PG-13"
"ts17598","TV-14"
"ts20458","TV-Y7"
"ts20429","TV-MA"
"ts20457","TV-Y7"
"tm178201","PG-13"
"tm36237","R"
"tm40319","R"
"ts6506","TV-MA"
"ts9794","TV-14"
"ts33338","TV-MA"
"tm39896","PG-13"
"tm74848","PG-13"
"ts27468","TV-Y7"
"ts20500","TV-MA"
"tm168921","PG"
"tm160132","PG"
"tm49592","PG-13"
"tm167232","PG-13"
"tm38980","PG"
"ts20556","TV-14"
"tm69926","PG"
"tm60844","NC-17"
"ts9246","TV-14"
"ts27835","TV-14"
"ts20648","TV-14"
"ts18551","TV-14"
"tm62210","PG-13"
"tm106278","R"
"tm182586",NA
"ts36647","TV-MA"
"ts81858","TV-G"
"ts34740","TV-PG"
"tm176507",NA
"ts21081","TV-14"
"ts27586","TV-14"
"ts19779","TV-Y"
"ts22249","TV-14"
"tm178395","R"
"tm173195","PG-13"
"tm69386","PG-13"
"tm174683","PG"
"tm72845",NA
"ts34921","TV-14"
"tm170758","PG"
"tm174256","PG-13"
"tm56296",NA
"tm160371","R"
"tm183547","PG"
"ts34737","TV-MA"
"tm59590","PG-13"
"ts34151","TV-14"
"tm161904","PG-13"
"tm44165",NA
"tm53034",NA
"ts32460","TV-14"
"ts26776","TV-Y7"
"tm164353",NA
"ts39093","TV-MA"
"ts33349","TV-Y"
"tm38064","R"
"tm182125","PG"
"ts55532","TV-Y"
"tm57436",NA
"tm72251","G"
"tm53625",NA
"ts191698","TV-Y"
"ts45996","TV-14"
"tm160361","PG"
"tm34331","R"
"tm183039",NA
"ts35426","TV-G"
"ts58528","TV-PG"
"tm177258",NA
"tm174190","PG-13"
"tm68436","G"
"tm65765","R"
"tm179451",NA
"tm177044","PG-13"
"tm49451",NA
"tm1096916",NA
"tm176128",NA
"tm67444",NA
"tm183176",NA
"tm40860","G"
"tm35700","PG"
"tm170395","R"
"tm169053","PG"
"tm53395","PG"
"tm183037",NA
"tm177958","PG-13"
"ts6879","TV-MA"
"tm178106","G"
"tm57610",NA
"tm169354",NA
"tm176111",NA
"tm59372","G"
"tm161804",NA
"tm159593","PG-13"
"ts39112","TV-Y"
"tm44615","G"
"tm54780","PG"
"ts167724","TV-PG"
"ts99814","TV-MA"
"tm175909",NA
"ts158608","TV-PG"
"tm57382",NA
"tm59289","PG-13"
"tm47171","G"
"tm165712",NA
"tm48239","PG"
"tm160021",NA
"tm54371",NA
"tm172883","PG"
"tm174518",NA
"tm70528",NA
"tm74031","R"
"tm181856",NA
"tm38013",NA
"tm42306","G"
"ts32561","TV-14"
"tm39606","PG"
"tm167241","PG-13"
"ts37864","TV-PG"
"tm71992",NA
"tm31948",NA
"tm166810","PG-13"
"tm37573",NA
"tm69915",NA
"tm164090","NC-17"
"tm37175","PG-13"
"tm66725","G"
"tm166740","G"
"tm200838","G"
"ts44064","TV-14"
"tm169128",NA
"tm172353","PG-13"
"tm34746","PG"
"tm29400",NA
"tm53360","PG"
"tm180532","PG-13"
"tm34142","R"
"ts27875","TV-Y"
"tm162592",NA
"ts41114","TV-14"
"tm70652",NA
"tm339197","G"
"tm172211",NA
"tm1077038","G"
"tm57256",NA
"tm529723",NA
"ts128422",NA
"tm53829",NA
"tm51412",NA
"tm38331","PG-13"
"tm481620","G"
"tm30278",NA
"tm165932",NA
"tm63368",NA
"tm161632",NA
"tm182026","PG"
"tm235979","PG"
"tm946846",NA
"tm181366",NA
"tm60213",NA
"tm481509","G"
"tm159623",NA
"ts60663","TV-14"
"tm34646",NA
"ts39465","TV-14"
"ts69208","TV-Y"
"tm224577",NA
"tm172504",NA
"ts20110","TV-MA"
"ts20837","TV-MA"
"ts20682","TV-MA"
"ts20824","TV-14"
"ts1639","TV-14"
"ts20351","TV-PG"
"ts11188","TV-14"
"tm140389","PG"
"ts20248","TV-14"
"tm150928","R"
"tm140877","PG-13"
"ts8146","TV-14"
"tm176864","R"
"tm151663","R"
"ts16045","TV-14"
"tm145655","PG-13"
"tm160621","R"
"ts20292","TV-14"
"tm134967","PG"
"tm183523","R"
"ts6","TV-MA"
"tm148147","PG-13"
"tm143227","R"
"ts21374","TV-14"
"ts14583","TV-MA"
"tm169719","PG-13"
"tm182429","R"
"ts20261","TV-14"
"tm175843","PG-13"
"tm163686","PG-13"
"ts21367","TV-14"
"ts20108","TV-G"
"tm180572","PG-13"
"tm151807","R"
"tm151764","PG-13"
"ts20823","TV-MA"
"tm153284","PG-13"
"ts32218","TV-G"
"ts35682","TV-MA"
"tm165967","PG-13"
"ts20791","TV-14"
"tm161525","R"
"tm168400","R"
"tm161282","PG"
"ts20280","TV-MA"
"tm148671","R"
"tm171042","R"
"tm178712","PG-13"
"ts20288","TV-14"
"ts20281","TV-Y"
"tm187279","PG-13"
"tm165521","R"
"tm141648","PG-13"
"ts314002","TV-14"
"tm176630","PG-13"
"ts32060","TV-G"
"tm184608","R"
"tm187979","PG"
"tm171228","R"
"ts2727","TV-MA"
"ts20790","TV-14"
"tm161029","PG"
"ts20014","TV-14"
"tm181270","R"
"ts35570","TV-MA"
"tm237143","PG-13"
"tm181081","R"
"ts20336","TV-14"
"ts35244","TV-PG"
"tm144121","PG-13"
"ts2161","TV-Y"
"ts32271","TV-14"
"ts20097","TV-MA"
"ts22383","TV-Y7"
"tm143642",NA
"ts36836","TV-PG"
"ts22426","TV-14"
"ts42168","TV-14"
"tm148976","R"
"ts35282","TV-G"
"tm136601","R"
"tm151716",NA
"tm166628","PG"
"tm140342","PG-13"
"ts20883","TV-G"
"tm151447","R"
"tm147913","PG-13"
"ts11794","TV-Y"
"ts98110",NA
"ts22445",NA
"tm469911","PG-13"
"tm149038",NA
"tm161562",NA
"ts34066","TV-G"
"ts521","TV-14"
"tm71148","R"
"tm156811","PG-13"
"ts82979","TV-G"
"ts33590","TV-G"
"tm138431",NA
"tm144046","PG-13"
"ts33840","TV-14"
"tm171965",NA
"tm157085","PG-13"
"tm185208","PG-13"
"tm180599","R"
"ts58137","TV-Y7"
"tm154797","PG"
"ts20709","TV-14"
"ts10206","TV-Y7"
"ts154625",NA
"ts37187","TV-MA"
"ts53641","TV-Y"
"tm148910","PG-13"
"tm182275",NA
"tm152904",NA
"tm172710","R"
"tm143757","R"
"ts35628","TV-G"
"ts57744","TV-Y7"
"ts58010","TV-G"
"tm143372","G"
"ts21368","TV-MA"
"tm167944","NC-17"
"tm187390",NA
"tm143363","PG"
"ts88394",NA
"ts36127","TV-PG"
"tm458034",NA
"ts3799","TV-Y7"
"tm171929","PG"
"tm155291","PG-13"
"tm180643","G"
"tm139617",NA
"ts16117","TV-MA"
"tm182969",NA
"tm215339",NA
"tm151927","PG-13"
"tm139922",NA
"tm185797","PG-13"
"tm174289","PG"
"tm181092",NA
"ts20781","TV-14"
"tm180802","PG"
"tm183706",NA
"tm168685",NA
"tm199408",NA
"tm140911",NA
"tm148597","R"
"ts76743","TV-G"
"ts83239",NA
"tm144021",NA
"tm148457","PG-13"
"ts75104","TV-MA"
"tm148662",NA
"ts34074","TV-MA"
"tm181550",NA
"tm149914","R"
"tm145627",NA
"tm186161","PG-13"
"tm183002","PG-13"
"ts122290","TV-14"
"ts75833","TV-Y"
"tm158302",NA
"tm182322",NA
"tm157062",NA
"tm186054","PG-13"
"tm165504",NA
"tm167342","PG"
"tm35895",NA
"tm158980","PG"
"ts67797","TV-PG"
"tm149747",NA
"tm159819",NA
"tm2269",NA
"tm175753",NA
"tm178513","PG-13"
"tm160034","PG"
"tm142630","PG-13"
"tm149578","PG"
"tm176481","PG-13"
"tm137379",NA
"tm360904",NA
"tm167107",NA
"tm158546","PG"
"tm236725",NA
"tm151210",NA
"tm146657","PG-13"
"tm157681",NA
"tm145791",NA
"tm175954",NA
"tm158436",NA
"tm172027","PG-13"
"tm209037",NA
"tm153055",NA
"tm155051",NA
"tm143299","PG-13"
"tm348393",NA
"tm182227",NA
"tm182534",NA
"ts121189",NA
"tm157461","PG"
"tm370685",NA
"ts20238","TV-PG"
"tm157609",NA
"tm152273",NA
"tm202914",NA
"tm183654",NA
"tm147518","PG"
"tm197423","PG-13"
"tm145658",NA
"ts82860","TV-14"
"tm151860",NA
"tm184511","R"
"tm145216","R"
"tm610571",NA
"tm529733","G"
"tm169054",NA
"tm154729","R"
"tm187505",NA
"tm177645","PG-13"
"tm155507",NA
"tm182580","PG-13"
"tm152843","R"
"tm147405",NA
"tm185736",NA
"tm587320",NA
"tm183805","PG"
"tm132675",NA
"tm323262",NA
"tm181051",NA
"tm169294",NA
"tm147908","PG"
"tm178992",NA
"tm250364","G"
"tm162259",NA
"tm166723",NA
"tm177224",NA
"tm187118","PG-13"
"ts144527","TV-14"
"tm577690",NA
"tm200926",NA
"tm155014",NA
"tm159296",NA
"tm179328",NA
"ts32752","TV-14"
"tm528043",NA
"tm186408",NA
"tm157783","G"
"tm146144",NA
"tm144541","R"
"tm175364","G"
"tm136036",NA
"tm163066",NA
"tm188290",NA
"tm1223427",NA
"tm142852",NA
"tm228574",NA
"tm171891",NA
"tm250247","G"
"tm176900",NA
"tm158671","G"
"tm144557","PG-13"
"tm528044","G"
"tm169669",NA
"tm149541",NA
"tm144451",NA
"tm205684",NA
"tm175577",NA
"tm178234",NA
"tm176553",NA
"tm481846","G"
"tm138280",NA
"tm156397",NA
"tm159094",NA
"tm1194608",NA
"tm460055",NA
"tm157286",NA
"ts271005","TV-14"
"tm179248",NA
"tm1036195",NA
"tm681614",NA
"ts107543","TV-14"
"tm242276",NA
"tm159701",NA
"tm177376",NA
"tm150962","PG"
"ts261583",NA
"ts8","TV-MA"
"ts37143","TV-MA"
"ts38796","TV-14"
"ts21867","TV-14"
"ts41766","TV-14"
"ts37539","TV-PG"
"tm232579","PG-13"
"ts36577","TV-MA"
"ts35201","TV-MA"
"tm243100","R"
"ts42069","TV-MA"
"ts36885","TV-MA"
"tm195209","R"
"tm239760","R"
"tm204163","R"
"ts36147","TV-14"
"ts35793","TV-PG"
"ts53051","TV-MA"
"tm135307","R"
"tm205890","R"
"tm239727","R"
"tm242705","R"
"tm138905","R"
"ts38199","TV-14"
"ts42062","TV-Y7"
"ts41961","TV-MA"
"ts35251","TV-MA"
"ts41956","TV-14"
"ts38718","TV-MA"
"ts42014","TV-14"
"ts53664","TV-MA"
"ts37866","TV-MA"
"ts42120","TV-MA"
"tm140391","PG"
"tm199607","R"
"tm137869","R"
"ts42077","TV-14"
"ts52922","TV-14"
"ts18010","TV-MA"
"ts36129","TV-14"
"ts36631","TV-MA"
"ts36550","TV-14"
"ts70529","TV-MA"
"ts41975","TV-14"
"ts38734","TV-MA"
"ts36015","TV-14"
"tm120609","PG-13"
"ts35554","TV-14"
"ts21981","TV-14"
"tm137693","R"
"ts35563","TV-14"
"ts21869","TV-MA"
"tm137002",NA
"ts47714","TV-14"
"tm206698","PG-13"
"ts38710","TV-14"
"ts21885","TV-14"
"tm139841","R"
"tm233377","R"
"ts35253","TV-14"
"tm143984","R"
"ts41289","TV-14"
"tm233425","PG-13"
"ts38090","TV-MA"
"ts21986","TV-G"
"tm120108","PG"
"tm239676","R"
"ts36177","TV-MA"
"tm212927","R"
"tm194792","PG-13"
"ts35775","TV-MA"
"ts38415","TV-MA"
"ts42687","TV-G"
"ts38511","TV-MA"
"ts38304","TV-MA"
"ts35354","TV-14"
"ts42170","TV-MA"
"tm193769","R"
"tm138297","R"
"ts41906","TV-14"
"tm132273","PG"
"tm143085","R"
"tm245271","NC-17"
"ts36046","TV-G"
"tm135106","R"
"tm196296","PG-13"
"ts39007","TV-14"
"tm209987","R"
"ts36545","TV-14"
"tm219233","PG-13"
"ts42169","TV-14"
"tm199700","R"
"ts36856","TV-MA"
"ts37971","TV-MA"
"ts41490","TV-MA"
"ts41963","TV-MA"
"ts37464","TV-MA"
"tm233214","PG-13"
"ts52838","TV-MA"
"ts41149","TV-MA"
"tm136483","PG-13"
"ts53099","TV-MA"
"tm134791","R"
"tm221740",NA
"tm140843","PG-13"
"ts38204","TV-14"
"tm219248","R"
"tm196125","R"
"tm204035","PG-13"
"ts82825","TV-MA"
"tm233521",NA
"ts42655","TV-14"
"tm206512",NA
"ts36983","TV-Y7"
"ts38783","TV-MA"
"ts38116","TV-MA"
"tm239743","R"
"ts35256","TV-MA"
"tm200126","R"
"tm208622","R"
"ts35362","TV-MA"
"ts42156","TV-PG"
"tm244788",NA
"ts3844","TV-14"
"ts41913","TV-14"
"tm139532","PG-13"
"tm253083",NA
"ts42119","TV-MA"
"tm136321",NA
"tm225308",NA
"ts52830","TV-14"
"tm238722","PG-13"
"ts42090","TV-MA"
"tm136257","R"
"tm244403","R"
"tm200690","R"
"ts53287","TV-14"
"ts37660","TV-14"
"tm147082",NA
"ts38731","TV-14"
"ts38809","TV-MA"
"tm233465","PG-13"
"ts53249","TV-Y7"
"tm230551","PG-13"
"ts42137","TV-Y7"
"ts76956",NA
"ts38758","TV-MA"
"ts35987","TV-Y7"
"tm228677","PG-13"
"tm155102","R"
"tm220594",NA
"tm243121",NA
"tm205812",NA
"tm234586","PG"
"ts38770","TV-MA"
"tm135543","R"
"tm215638","R"
"tm239683",NA
"ts42257","TV-MA"
"ts52829",NA
"tm214825","PG-13"
"tm242736",NA
"ts42022","TV-MA"
"ts37944","TV-MA"
"tm239707","PG-13"
"tm136061","PG-13"
"tm239733",NA
"ts38568","TV-MA"
"tm142881","PG"
"ts37779",NA
"tm232953","R"
"tm193125",NA
"tm244507",NA
"tm134516","PG-13"
"ts52981","TV-PG"
"tm270504","R"
"ts41258","TV-PG"
"tm244880",NA
"tm233317","PG"
"tm205333",NA
"ts43209","TV-14"
"tm233533",NA
"ts55365","TV-PG"
"tm138672",NA
"tm323616",NA
"ts119087","TV-Y"
"ts36630","TV-Y7"
"ts41995","TV-14"
"tm245378",NA
"tm221225",NA
"ts39017","TV-Y7"
"ts11670","TV-Y7"
"ts76079","TV-Y7"
"tm157283",NA
"tm211302",NA
"ts43272","TV-14"
"tm253080",NA
"ts36547","TV-MA"
"ts56748","TV-14"
"tm139194","PG"
"ts53155",NA
